SPEC_ID,PROTECTED = P,UPDATED = U,GENUS,SPECIES,COUNTRY,LOCALITY,COLLECTION PLACE,DATE COLLECTED,SEX,BONE,SIDE,AGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,,,
USNM061743,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,unknown,astragalus,right,recent,57.8,58.1,25.9,56.6,46.9,34.6,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061743,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,unknown,calcaneum,right,recent,107.3,68.8,18.2,33.3,48.2,51.5,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061743,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,unknown,mc3,left,recent,213.0,205.5,28.5,22.5,42.9,25.2,34.7,14.7,,38.6,38.4,27.6,22.3,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061743,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,unknown,mt3,left,recent,240.5,238.5,27.9,28.4,43.1,32.0,39.8,11.3,8.9,38.9,39.1,28.7,22.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,male,skull,left,recent,130.1,,,,,,89.0,68.7,153.6,,,,,34.2,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM061744,P,U,Equus,burchellii ,28,300,"Manica&Sofala, Beira, Moore",1907,male,txP2,left,recent,37.5,,22.9,,,,,,,7.7,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM269165,P,U,Equus,burchellii ,Locality Unknown,0,Natioinal Zoo,13-Nov-1939,male,txP2,left,recent,33.7,,22.4,,,,,,,7.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,a1ph3,left,recent,110.3,103.2,53.4,80.1,52.7,68.9,61.1,38.5,63.9,88.0,87.1,20.2,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,a2ph3,left,recent,63.0,44.4,66.0,78.8,47.7,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,ast,left,recent,83.3,84.8,43.4,92.1,73.0,51.1,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
