Compiled Terms [EAP database terms are in square brackets],Occurrence ID,Other References to this Occurrence,Taxon [in EA database this is taxon + Species],Common Name,[Kingdom],[Phylum],[Class],[Order],[Family],[Genus],Specific Epithet [species],Infraspecific Epithet [subspecies],Taxon Rank,"EA Cat number [in EA database, this is catalog+catalog extension]",[Collector Number],[UF#],[# Specimens],Organism ID,[Sex],"[Age] Value in Years [in EA database, all age info goes in one category = Age]",[Age] Life Stage,[Age] Age Remarks,Identified By,Year/Month/Day Identified,Identification Remarks,Collection Type,[Country],Country Code,State [also in EA database as Country/State],[County],Municipality [City],Locality [in EAP database as City/Modifier],Verbatim Locality,Land owner,Latitude,Longitude,Verbatim Coordinates [Latitude/Longitude],Geodetic Datum,Coordinate Uncertainty in Meters,Coordinate Precision,Minimum Elevation in Meters,Maximum Elevation in Meters,[Elevation],Elevation Accuracy,Minimum Depth in Meters,Maximum Depth in Meters,Verbatim Depth,Depth of Bottom in Meters,Minimum Distance Above Surface in Meters,Maximum Distance Above Surface in Meters,Georeference Protocol,Georeference Verified?,Location Remarks,"Collection Date [EAP database has only one date category, randomly used for whatever]",Accession Date,Standardized Collection Date,Material Sample ID,[Collector],Event Entered By,Habitat/Subhabitat/Substratum,Establishment Means,Sampling Protocol,Permit Information,[Specimen Location],[Data location],[on_loan],[time_stamp],Associated Taxa,Images,Reproductive Condition,Event Remarks,Occurrence Remarks,Additional Notes Available?,Body Portion,Side,Total Fresh Weight (g),Height (mm) [define?],Girth (mm) [girth at chest/heart],Skin weight (g),Weight of viscera (g),Total bone weight (g),TL (mm) [Total Length],TA (mm) [Tail Length],HF (mm) [Hind Foot Length],En (mm) [Ear Notch = Ear Length],"Astragalus Glm (greatest length of the medial side von den Driesch 1976), mm","Astragalus GLl, (greatest length of the lateral side, von den Driesch 1976), mm","Astragalus Dm (greatest depth of the medial side, von den Driesch 1976), mm","Astragalus Bd (greatest breadth of the distal end, von den Driesch 1976), mm","Astragalus Dl, (depth of the lateral side, von den Driesch 1976), mm","Astragalus AST3, intermediate length or minimum distance of the double trochlea in the proximal-distal direction (Wolverton 2007), mm","Calcaneus GL, (greatest length, von den Driesch, 1976), mm","Calcaneus GB, (greatest breadth, von den Driesch 1976), mm","Calcaneus CALD, (lateral depth, Purdue 1987), mm","Calcaneus Bc, mm","Calcaneus Dc, mm","Tibia GL, (greatest length, von den Driesch 1976), mm","Tibia Ll, (length of the lateral side, von den Driesch 1976 *note she says only in horses), mm","Tibia SD, (smallest breadth of the diaphysis, von den Driesch 1976), mm","Tibia Bp, (greatest breadth of the proximal end, von den Driesch 1976), mm","Tibia Bd, (greatest breadth of the distal end, von den Driesch 1976), mm","Tibia Dd, (greatest depth of the distal end, von den Driesch 1976), mm",Measurement Remarks,Measurements by,Measurement Date,Measurement Method,Measurement Accuracy
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,Tail,n/a,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,HindFoot,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,Ear,unknown,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,Astragalus,L,,,,,,,,,,,37.33,40.2,22.49,23.66,21.51,32.1,,,,,,,,,,,,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,Calcaneus,L,,,,,,,,,,,,,,,,,88.91,19.02,30.25,11.37,22.63,,,,,,,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4571,SCWDS 85-50,,1,,M,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, off campground road",US NPS,26.232307,-81.2659078,"26.232307°, -81.2659078° Bear Island https://www.anyplaceamerica.com/directory/fl/collier-county-12021/islands/bear-island-278322/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 4, 1985","Accession Date, March 9, 1985",3/4/1985,,"M. Roelke, S. Hale",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,," SCDWS says ""antler in velvet""",original field collection notes (SCDWS) and lab notes available,Tibia,L,,,,,,,,,,,,,,,,,,,,,,286.37,273.69,18.21,54.26,33.65,27.27,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Carcass,n/a,36320,,770,3000,,2287,1410,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Tail,n/a,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,HindFoot,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Ear,unknown,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Astragalus,L,,,,,,,,,,,30.6,33.06,18.31,20.31,18.27,26.77,,,,,,,,,,,,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Calcaneus,L,,,,,,,,,,,,,,,,,76.77,23.1,25.36,,,,,,,,,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4572,SCWDS 85-51,,1,,F,2.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",,,original field collection notes (SCDWS) and lab notes available,Tibia,L,,,,,,,,,,,,,,,,,,,,,,257.7,248.5,17.25,45.84,27.92,21.84,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4573,SCWDS 85-52,,1,,F,5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island E 1/2 mile - S.E. Hinsons Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""non pregnant"" lactating",,,original field collection notes (SCDWS) and lab notes available,Carcass,n/a,46308,,,2950,,3027,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4573,SCWDS 85-52,,1,,F,5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island E 1/2 mile - S.E. Hinsons Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""non pregnant"" lactating",,,original field collection notes (SCDWS) and lab notes available,Tail,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z4573,SCWDS 85-52,,1,,F,5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Collier,,Big Cypress,"Big Cypress, Bear Island E 1/2 mile - S.E. Hinsons Marsh",US NPS,26.1731427,-81.2597968,"26.1731427°, -81.2597968° Bear Island East Hinson Indian Mounds https://www.anyplaceamerica.com/directory/fl/collier-county-12021/summits/east-hinson-indian-mounds-281988/",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, March 5, 1985","Accession Date, March 9, 1985",3/5/1985,,"M. Roelke, S. Hale [+Roboski SCWDS]",,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,"""non pregnant"" lactating",,,original field collection notes (SCDWS) and lab notes available,HindFoot,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
