Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 13857,MVZ 13857,,,37.217068,-119.904732,0.80467,NAD27,940,8.5,,12.08,,,55,170,409,,,,,,,,,,,,,,,,,,,,,,,
MVZ 13858,MVZ 13858,,,37.217068,-119.904732,0.80467,NAD27,940,9.85,,11.92,,20,57,190,440,,,,,,,,,,,,,,,,,,,,,,,
MVZ 13861,MVZ 13861,MVZ 13861,MVZ 13861,36.059519,-119.31074,0.402,NAD27,260,9.35,,12.25,,,,,,,43747,40.5485423,UAG,21.7932,8.58,16.77777778,62.2,43747,40.5485423,UAG,77.5,46.21333,0.5033333,75.86333,48.04833,0.8833333,95.56,55.04667,0.03333333,52.265,35.99333,1.44
MVZ 13862,MVZ 13862,,,36.059519,-119.31074,0.402,NAD27,260,8.27,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 138949,,MVZ 138949,MVZ 138949,39.7601184,-121.77806,1.308,NAD27,,8.73,,11.45,,33,56,209,481,,41715,7.4483709,AGS,66.6242,26.23,15.83333333,60.5,41715,7.4483709,AGS,78.38,48.92667,1.81,69.40667,44.23,2.2733333,91.35667,59.17667,0.22666667,56.80667,35.86667,4.4333333
MVZ 138950,,MVZ 138950,MVZ 138950,39.608139,-121.952233,0.484,NAD27,,9.1,,11.84,,28,53,180,439,,41715,15.467773,UAG,66.6242,26.23,15.83333333,60.5,41715,15.467773,UAG,79.61333,49.36,1.81,70.00667,45.29667,2.2733333,91.62333,58.91,0.22666667,56.25667,34.95,4.4333333
MVZ 138953,,MVZ 138953,MVZ 138953,40.0206377,-122.019656,6.278,NAD27,,9.85,,11.04,,30,57,195,443,,46506,33.7665833,AGS,55.4482,21.83,16.72222222,62.1,46506,33.7665833,AGS,79.81333,49.67333,1.4466667,72.34,45.39333,1.87,94.37333,59.76,0.21,55.66667,36.02667,3.75
MVZ 138956,,MVZ 138956,,40.2963235,-122.303262,3.735,NAD27,,9.05,,12.06,,,,,,,47304,22.6103873,BOW,85.1408,33.52,16.44444444,61.6,,,,,,,,,,,,,,,
MVZ 138957,,MVZ 138957,MVZ 138957,40.07522,-122.10795,7.854,NAD27,,9.97,,12.02,,,,,,,46506,36.9454994,UAG,55.4482,21.83,16.72222222,62.1,46506,36.9454994,UAG,78.81333,50.00667,1.4466667,71.37333,45.32667,1.87,93.90667,60.46,0.21,57.18333,36.82667,3.75
MVZ 138958,,MVZ 138958,MVZ 138958,40.73111,-122.94083,1.932781,NAD27,,10.01,,11.38,,28,55,215,440,,49490,0.6794376,MHW,97.5614,38.41,12.11111111,53.8,49490,0.6794376,MHW,73.73667,37.35667,2.9533333,66.04,33.43667,3.0166667,89.87667,47.02,0.36,47.95,26.51667,6.4733333
MVZ 138959,,MVZ 138959,MVZ 138959,39.10553,-121.53687,0.386,NAD27,,9.18,,10.75,,29,60,175,470,,45385,5.5677034,UAG,56.0578,22.07,17.11111111,62.8,45385,5.5677034,UAG,80.34,49.68333,1.4766667,73.93667,45.85,1.91,94.92333,59.51,0.13333333,56.67667,35.18333,3.8366667
MVZ 138961,,MVZ 138961,MVZ 138961,39.1488,-121.568,0.756,NAD27,,9.18,,11.55,,29,55,175,415,,45385,0.1761217,UAG,56.0578,22.07,17.11111111,62.8,45385,0.1761217,UAG,80.34,49.68333,1.4766667,73.93667,45.85,1.91,94.92333,59.51,0.13333333,56.67667,35.18333,3.8366667
MVZ 138965,,MVZ 138965,MVZ 138965,39.932405,-121.059853,1.609,NAD27,,8.32,,11.35,,,,,,,47195,9.390122,SMC,97.3328,38.32,10.5,50.9,47195,9.390122,SMC,72.58333,33.61,2.7633333,65.12667,30.87667,3.2166667,88.385,40.305,0.40666667,47.24,26.20667,6.3866667
MVZ 1406,,MVZ 1406,MVZ 1406,33.9150671,-116.784441,0.6096,NAD27,,7.47,,11.18,,,,,,,47306,39.7661008,DSC,34.5948,13.62,18.05555556,64.5,47306,39.7661008,DSC,78.33333,46.28,0.61,74.07333,44.59667,1.27,89.995,56.87333,0.15,60.725,37.76667,2.51
MVZ 1407,MVZ 1407,,,33.9150671,-116.784441,0.6096,NAD27,1800,9.13,,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 1409,MVZ 1409,,,33.9150671,-116.784441,0.6096,NAD27,1700,9.7,,11.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 1412,MVZ 1412,,,33.9150671,-116.784441,0.6096,NAD27,1700,8.35,,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 1417,MVZ 1417,,,33.9335863,-116.881026,1.609,NAD27,2200,6.8,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 149698,MVZ 149698,,,36.3785176,-121.556821,2.5,WGS84,1600,8.5,,10.98,,25,52,137,358,355,,,,,,,,,,,,,,,,,,,,,,
MVZ 15138,MVZ 15138,,,35.8384477,-118.450732,2.816,NAD27,2800,8.86,,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 15139,MVZ 15139,,,35.6692,-118.0371,1,NAD27,4600,7.74,,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 15145,MVZ 15145,,,35.69,-118.2981,1,NAD27,4100,7.9,,11.42,,,55,160,405,,,,,,,,,,,,,,,,,,,,,,,
MVZ 15146,MVZ 15146,,,35.830658,-118.29175,0.03,NAD27,7000,8.92,,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
