Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 99897,MVZ 99897,MVZ 99897,MVZ 99897,33.896,-117.054,1,NAD27,1500,8.13,,12.09,,,,,,,47306,20.8399283,CSC,34.5948,13.62,18.05555556,64.5,47306,20.8399283,CSC,81.97667,49.05333,0.61,74.85333,47.33667,1.27,92.27333,58.70333,0.15,63.25667,39.32667,2.51
MVZ 99900,MVZ 99900,,,33.965661,-117.006723,2.414,NAD27,2400,8.08,,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99901,MVZ 99901,,,33.965661,-117.006723,2.414,NAD27,2400,8.38,,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99902,MVZ 99902,,,33.965661,-117.006723,2.414,NAD27,2400,8.42,,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99903,MVZ 99903,,,33.9312071,-117.00014,0.804672,NAD27,2500,8.48,,11.33,,25,57,160,420,560,,,,,,,,,,,,,,,,,,,,,,
MVZ 99904,MVZ 99904,,,33.9312071,-117.00014,0.804672,NAD27,2500,8.13,,11.17,,27,54,170,412,450,,,,,,,,,,,,,,,,,,,,,,
MVZ 99905,MVZ 99905,,,33.9312071,-117.00014,0.804672,NAD27,2500,7.58,,11.54,,28,56,170,405,400,,,,,,,,,,,,,,,,,,,,,,
MVZ 99906,MVZ 99906,,,33.9297932,-116.804664,1.609,NAD27,2050,8.76,,11.18,,23,56,160,410,660,,,,,,,,,,,,,,,,,,,,,,
MVZ 99907,MVZ 99907,,,33.9297932,-116.804664,1.609,NAD27,2050,8.46,,10.67,,24,55,165,415,470,,,,,,,,,,,,,,,,,,,,,,
MVZ 99909,MVZ 99909,,,33.9297932,-116.804664,1.609,NAD27,2050,6.95,,10.47,,21,50,110,295,160,,,,,,,,,,,,,,,,,,,,,,
MVZ 99910,MVZ 99910,,,33.9150671,-116.784441,0.6096,NAD27,1800,8.68,8.65,10.45,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99911,MVZ 99911,,,33.9150671,-116.784441,0.6096,NAD27,1800,8.39,8.51,10.92,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99912,MVZ 99912,,,33.9150671,-116.784441,0.6096,NAD27,1800,8.87,9.07,11.34,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99913,MVZ 99913,MVZ 99913,MVZ 99913,33.9115166,-116.796437,0.457,NAD27,1800,8.84,8.97,10.26,10.25,22,55,145,420,575,47306,38.8961425,DSC,34.5948,13.62,18.05555556,64.5,47306,38.8961425,DSC,80.47667,47.67,0.61,73.92,47.82,1.27,91.04,58.27,0.15,62.95667,41.29333,2.51
MVZ 99914,MVZ 99914,,,33.9115166,-116.796437,0.457,NAD27,1800,8.64,,10.66,,23,54,160,432,725,,,,,,,,,,,,,,,,,,,,,,
MVZ 99915,MVZ 99915,,,33.9115166,-116.796437,0.457,NAD27,1800,9.68,,11.2,,21,59,174,414,560,,,,,,,,,,,,,,,,,,,,,,
MVZ 99916,MVZ 99916,,,33.9115166,-116.796437,0.457,NAD27,1800,8.86,,11.02,,21,56,170,432,800,,,,,,,,,,,,,,,,,,,,,,
MVZ 99917,MVZ 99917,,,33.9115166,-116.796437,0.457,NAD27,1800,8.05,,11.33,,21,53,140,400,760,,,,,,,,,,,,,,,,,,,,,,
MVZ 99918,MVZ 99918,,,33.9115166,-116.796437,0.457,NAD27,1800,9.02,,11.27,,20,58,155,418,600,,,,,,,,,,,,,,,,,,,,,,
MVZ 99919,MVZ 99919,,,33.9115166,-116.796437,0.457,NAD27,1800,7.97,,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99920,MVZ 99920,,,33.9115166,-116.796437,0.457,NAD27,1800,8.14,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99922,MVZ 99922,,,33.9115166,-116.796437,0.457,NAD27,1800,7.53,,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99923,MVZ 99923,,,33.9115166,-116.796437,0.457,NAD27,1800,7.72,,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99924,MVZ 99924,,,33.9115166,-116.796437,0.457,NAD27,1800,7.78,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99926,MVZ 99926,,,33.9115166,-116.796437,0.457,NAD27,1800,8.01,,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99927,MVZ 99927,,,33.9115166,-116.796437,0.457,NAD27,1800,8.76,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99928,MVZ 99928,,,33.9115166,-116.796437,0.457,NAD27,1800,7.28,,11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99929,MVZ 99929,,,33.9115166,-116.796437,0.457,NAD27,1800,9.47,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99930,MVZ 99930,,,33.9227891,-116.663288,1.3716,NAD27,1175,8.78,,11.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99931,MVZ 99931,,,33.9227891,-116.663288,1.3716,NAD27,1175,8.38,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99932,MVZ 99932,,,33.9227891,-116.663288,1.3716,NAD27,1175,8.22,,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99933,MVZ 99933,,,33.9227891,-116.663288,1.3716,NAD27,1175,8.83,,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99934,MVZ 99934,MVZ 99934,MVZ 99934,33.9251,-116.6814,1,NAD27,1200,8.59,,11.34,,,,,,,47306,48.3835479,DSC,34.5948,13.62,18.05555556,64.5,47306,48.3835479,DSC,80.47667,47.67,0.61,73.92,47.82,1.27,91.04,58.27,0.15,62.95667,41.29333,2.51
MVZ 99935,MVZ 99935,,,33.9251,-116.6814,1,NAD27,1200,8.07,,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99936,MVZ 99936,,,33.9251,-116.6814,1,NAD27,1200,9.2,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99937,MVZ 99937,,,33.9251,-116.6814,1,NAD27,1200,8.52,,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99938,MVZ 99938,,,33.9251,-116.6814,1,NAD27,1200,7.86,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99940,MVZ 99940,,,33.8776859,-116.621661,1.609,NAD27,1100,8.1,7.87,11.64,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 99941,MVZ 99941,,,33.8776859,-116.621661,1.609,NAD27,1100,7.2,6.94,11.46,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
