1st_body_mass,1st_total_length,catalognumber,collectioncode,decimallatitude,decimallongitude,dynamicproperties,1st_ear_length,eventdate,fieldnotes,1st_hind_foot_length,institutioncode,1st_life_stage_notation,2nd_life_stage_notation,lifestage,ageValue,ageUnit,locality,occurrenceid,reproductivecondition,scientificname,sex,1st_sex_notation,1st_tail_length,1st_testes_side
21772.44,1360,62079,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1360"", ""tailLengthInmm"":""211"", ""hindfootLengthInmm"":""406"", ""earLengthInmm"":""128"", ""weightInlbs"":""[48]""}",128,10/25/1992,,406,OMNH,0.5 years,,,0.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62079,,Odocoileus virginianus,male,male,211,
29483.51,1360,62068,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1360"", ""tailLengthInmm"":""185"", ""hindfootLengthInmm"":""401"", ""earLengthInmm"":""134"", ""weightInlbs"":""[65]""}",134,10/17/1992,,401,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62068,,Odocoileus virginianus,female,female,185,
36288,1360,18206,Mammals,17.7508297,-64.8616714,"{""totalLengthInMM"":""1360"", ""tailLengthInMM"":""159"", ""hindfootLengthInMM"":""337"", ""earLengthInMM"":""108"", ""weightInGrams"":""36288"" }",108,8/26/1972,,337,TTU,,,,,,PLEASANT VALLEY ESTATE,urn:catalog:TTU:Mammals:18206,,Odocoileus virginianus,female,female,159,
39463,1360,18193,Mammals,17.7655602,-64.8816681,"{""totalLengthInMM"":""1360"", ""tailLengthInMM"":""152"", ""hindfootLengthInMM"":""368"", ""earLengthInMM"":""140"", ""weightInGrams"":""39463"" }",140,8/3/1972,,368,TTU,,,,,,CALIDONIA ESTATE,urn:catalog:TTU:Mammals:18193,,Odocoileus virginianus,male,male,152,
31751.47,1364,60130,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1364"", ""tailLengthIn"":""223"", ""hindfootLengthIn"":""381"", ""earLengthIn"":""140"", ""weightInlbs"":""70""}",,10/29/1989,,,OMNH,1.5 years,,,1.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60130,,Odocoileus virginianus,female,female,,
31751.47,1364,62045,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1364"", ""tailLengthInmm"":""229"", ""hindfootLengthInmm"":""384"", ""earLengthInmm"":""142"", ""weightInlbs"":""70""}",142,10/24/1987,,384,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62045,,Odocoileus virginianus,female,female,229,
26308.36,1370,61178,Mammals,35.375558,-88.818928,"{""totalLengthInmm"":""1370"", ""tailLengthInmm"":""250"", ""hindfootLengthInmm"":""417"", ""earLengthInmm"":""133"", ""weightInlbs"":""[58]""}",133,12/1/1990,,417,OMNH,0.5 yr,,,0.5 yr,,Chickasaw Wildlife Management Area,urn:catalog:OMNH:Mammals:61178,,Odocoileus virginianus,male,male,250,
23133.21,1371,61162,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1371"", ""tailLengthIn"":""271"", ""hindfootLengthIn"":""394"", ""earLengthIn"":""134"", ""weightInlbs"":""51""}",,10/22/1988,,,OMNH,0.5 yr,,,0.5 yr,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61162,,Odocoileus virginianus,male,male,,
52164,1372,18189,Mammals,17.7297192,-64.8405609,"{""totalLengthInMM"":""1372"", ""tailLengthInMM"":""179"", ""hindfootLengthInMM"":""559"", ""earLengthInMM"":""165"", ""weightInGrams"":""52164"" }",165,10/16/1972,,559,TTU,,,,,,ALLANDALE ESTATE,urn:catalog:TTU:Mammals:18189,,Odocoileus virginianus,male,male,179,
55339,1372,18204,Mammals,17.7291698,-64.6680603,"{""totalLengthInMM"":""1372"", ""tailLengthInMM"":""179"", ""hindfootLengthInMM"":""572"", ""earLengthInMM"":""165"", ""weightInGrams"":""55339"" }",165,10/4/1972,,572,TTU,,,,,,PETRONELLA ESTATE,urn:catalog:TTU:Mammals:18204,,Odocoileus virginianus,male,male,179,
