	institutionCode	collectionCode	catalogNumber	measurementSide	measurementType	scientificName	decimalLatitude	decimalLongitude	locality	verbatimLocality	basisOfRecord	measurementValue	measurementUnit	lithostratigraphicTerms	formation	member	references	materialSampleID
22	Museum of the city of Las Flores	Col. HGC	5	right	M3 height	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	72.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	1bdc95ad-264b-4b15-ae7c-bb1aff1aa22b
23	Museum of the city of Las Flores	Col. HGC	5	right	M3 occlusal length of the protocone	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	14.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	0a73c84d-13fd-468d-9343-2d8f7d8ff4b6
24	Museum of the city of Las Flores	Col. HGC	7	right	p2 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	29.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	ea37bc47-c194-45b8-82f0-51d34f98fca4
25	Museum of the city of Las Flores	Col. HGC	7	right	p2 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	16.7	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	ebcef105-a4f8-4aa9-a14f-eabc63c0c709
26	Museum of the city of Las Flores	Col. HGC	7	right	p3 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	26.9	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	f530558b-dc7a-4bb1-96d9-45cd7e134aef
27	Museum of the city of Las Flores	Col. HGC	7	right	p3 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	16.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	ee0777c3-b678-4e49-9056-4dd8d09b1fbe
28	Museum of the city of Las Flores	Col. HGC	7	right	p3 occlusal length of the postflexid	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	11.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	26e9ad62-4a7d-4738-a935-10fb2c8f03b2
29	Museum of the city of Las Flores	Col. HGC	7	right	p4 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	25.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	d9f8ef96-6cca-4b3c-8d3a-bafbed2163be
30	Museum of the city of Las Flores	Col. HGC	7	right	p4 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	16.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	19e7ad54-5734-4308-a373-0bd2941f6b3e
31	Museum of the city of Las Flores	Col. HGC	7	right	p4 occlusal length of the postflexid	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	10.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	9145ddc7-d098-45c9-bd92-435604608cae
32	Museum of the city of Las Flores	Col. HGC	7	right	m1 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	23.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	3b85ae6d-d117-4134-beea-8bbf4b3b18ef
33	Museum of the city of Las Flores	Col. HGC	7	right	m1 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	15.7	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	684aa389-720b-49e3-a237-7f3fd163a6b9
34	Museum of the city of Las Flores	Col. HGC	7	right	m1 occlusal length of the postflexid	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	6.6	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	c2a6e0a6-6d1c-486f-92e1-ff5570633aac
35	Museum of the city of Las Flores	Col. HGC	7	right	m2 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	23.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	4e1eaa2f-31e0-4f2e-a842-f485c0c3b99b
36	Museum of the city of Las Flores	Col. HGC	7	right	m2 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	14.5	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	f1fc32c9-2f40-47ae-aaec-504f75b8b3ec
37	Museum of the city of Las Flores	Col. HGC	7	right	m2 occlusal length of the postflexid	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	6.8	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	2e4b04ba-ede2-4ae6-9335-a445313b2f98
38	Museum of the city of Las Flores	Col. HGC	7	right	m3 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	29.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	a97b4f6b-ca81-46a4-ba4c-005639d9187e
39	Museum of the city of Las Flores	Col. HGC	7	right	m3 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	13.9	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	788c6291-4122-4463-b834-d8bcdef751a9
40	Museum of the city of Las Flores	Col. HGC	7	right	m3 occlusal length of the postflexid	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	8.3	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	2618d6f4-25e8-482a-b4b6-1f2c7c4cd3d7
41	Museum of the city of Las Flores	Col. HGC	7	left	p2 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	29.0	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	bcc37be1-6044-4be4-910a-7394dcbab913
42	Museum of the city of Las Flores	Col. HGC	7	left	p2 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	16.4	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	d87c6ae5-8ad5-446d-9951-104e54d74ff5
43	Museum of the city of Las Flores	Col. HGC	7	left	p3 occlusal length	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	27.1	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	c9ac5a21-5666-4fad-9ad2-5ec90565b16a
44	Museum of the city of Las Flores	Col. HGC	7	left	p3 occlusal breadth	Equus neogeus	-35	-58	Salado River	Buenos Aires Province, Argentina	FossilSpecimen	17.9	mm	Pleistocene	Luján Formation	Río Salado Member	Prado J.L., Alberdi M.T., Bonini R., and Crispiani H. 2018. New records of Hippidion principale and Equus neogeus from Salado River (Buenos Aires Province, Argentina). Neues Jahrbuch für Geologie und Paläontologie-Abhandlungen 289: 123-138.	a483984f-2fa6-4a1d-a5c4-171e682bcde6
