,catalogNumber,institutionCode,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,pointElevationInMeters,materialSampleID,measurementUnit,measurementType,measurementValue,diagnosticID
61, 1406,MVZ,MVZ 1406MVZ 1406,33.9150671,-116.78444099999999,0.6096,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,2c4d300d-a2cd-401b-8203-2bb517ac4c62
62, 1407,MVZ,MVZ 1407,33.9150671,-116.78444099999999,0.6096,548.64,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,aaf7d6b0-ba67-41f6-8464-3d4364f867e6
63, 1409,MVZ,MVZ 1409,33.9150671,-116.78444099999999,0.6096,518.1600000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,0e7fb774-1347-4e6d-bce4-2d7b737d58d2
64, 1412,MVZ,MVZ 1412,33.9150671,-116.78444099999999,0.6096,518.1600000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,77fee1b6-0f25-4c28-a681-14649aa058a1
65, 1417,MVZ,MVZ 1417,33.933586299999995,-116.881026,1.609,670.5600000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,dadc9ca4-8924-49cd-a689-a62ca14361cb
66, 149698,MVZ,MVZ 149698,36.3785176,-121.556821,2.5,487.68,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,25,e88fe7a4-950c-4060-981c-bbef79c74649
67, 15138,MVZ,MVZ 15138,35.8384477,-118.450732,2.8160000000000003,853.44,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,b50ef41b-9f2a-497c-b789-fdf83fe61480
68, 15139,MVZ,MVZ 15139,35.6692,-118.0371,1.0,1402.0800000000002,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,5b3fb0cf-6269-4832-8b69-2a4f7e32a487
69, 15145,MVZ,MVZ 15145,35.69,-118.2981,1.0,1249.68,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,5061422b-264d-4da9-9af0-ad9bfda35b70
70, 15146,MVZ,MVZ 15146,35.830658,-118.29175,0.03,2133.6,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,25c47ecc-ffe6-4e7e-a84a-9b3042b5bf72
71, 15147,MVZ,MVZ 15147,35.830658,-118.29175,0.03,2133.6,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,73dd2d2f-2ad7-4924-894c-95e406f41f18
72, 15149,MVZ,MVZ 15149,35.830658,-118.29175,0.03,2133.6,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,a3150418-675f-4e42-adc9-a9ed3a93ae89
73, 15155,MVZ,MVZ 15155,36.477786,-118.142063,0.03,3048.0,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,a7d14fa6-c2ec-4128-a678-9e1fb2ca06bc
74, 152136,MVZ,MVZ 152136MVZ 152136,39.3213902,-120.84537399999999,0.13518,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,24,330b1622-aea6-4f7c-b8c8-573bb0bebf59
75, 1560,MVZ,MVZ 1560,33.925,-116.63799999999999,1.0,344.42400000000004,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,a30d171b-d07c-4b86-811d-e69f8a59a3e6
76, 159815,MVZ,MVZ 159815,39.3213902,-120.84537399999999,0.13518,1310.64,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,29,65aa58ad-06ee-4579-9761-240cbc3a734a
77, 159816,MVZ,MVZ 159816,39.3213902,-120.84537399999999,0.13518,1310.64,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,25,5407c9e0-d8fa-48d6-9064-44bd93e3d54b
78, 160572,MVZ,MVZ 160572MVZ 160572MVZ 160572,38.052271000000005,-121.00416000000001,0.193,38.1,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,31,2d6d9ed3-d19d-4ac6-acae-5a2329bd4948
79, 1760,MVZ,MVZ 1760,33.8042231,-116.659361,1.3716,2743.2000000000003,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,3783be9f-da55-4159-bc75-a3ab904a501a
80, 17755,MVZ,MVZ 17755,36.5782,-118.1069,1.0,1371.6000000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,ed0931b5-af41-492e-ac91-2ea920093e32
81, 17756,MVZ,MVZ 17756,36.813217,-118.31913899999999,0.03,2286.0,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,fba89309-0c57-4193-b11a-5e06a2bfd0c0
