,catalogNumber,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,materialSampleID
882,UAZ 24592,Mammals,31.392203000000002,-110.702582,11/20/1981,UAZ,,,,"T23S, R16E, ~1 mi. NW Washington Camp on Duquesne Rd., Patagonia Mtns., oddly pigmented, deformed-congenital skoliosis w/bilateral cateracts, illegally shot",female,Odocoileus virginianus,1981,mm,ear length,120.0,96f3abfe-1438-46c1-b233-e628665b2e9c
883,18217,Mammals,18.0,-64.6666718,5/5/1972,TTU,,,,,female,Odocoileus virginianus,1972,mm,ear length,102.0,4a7bedd3-9cea-49dc-baa6-3e05ebbc5b6d
884,32127,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,mm,ear length,90.0,56732472-4b17-4b10-9c53-16bb83f7e882
885,50139,Mammals,,,7/1/1905,OMNH,Juvenile,,,,female,Odocoileus virginianus,1905,mm,ear length,100.0,158b0de3-2bff-44a0-874e-db1ce4de2758
886,50274,Mammals,,,1/2/2007,OMNH,Juvenile,,,,female,Odocoileus virginianus,2007,mm,ear length,95.0,04ca24d9-6958-46ff-8e2a-2fa55c0dd52d
887,Aug-64,Mammals,,,6/26/1987,CRCM,,,,"~2 mi. S. Anatone, Asotin Co., Washington",male,Odocoileus virginianus,1987,mm,ear length,100.0,3615999a-7ea8-4791-be07-6e4ca39db885
888,18200,Mammals,17.73806,-64.6175003,10/20/1972,TTU,,,,MADAM CARLEY ESTATE,female,Odocoileus virginianus,1972,mm,ear length,127.0,fa0fdbbd-adb1-4f4c-82cd-7c2b1ce45cce
889,32134,Mammal specimens,46.2475,-123.4125,7/11/2017,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,2017,mm,ear length,106.0,8b48d082-7943-4bef-b6f3-72689068de2d
890,32129,Mammal specimens,46.2475,-123.4125,6/1/1905,UWBM,,,,Columbian White-tailed Deer Refuge,male,Odocoileus virginianus,1905,mm,ear length,100.0,aaa3bcbe-b74d-414f-9908-54f3ffb5247f
891,62086,Mammals,35.50028,-89.20833,10/24/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,126.0,1e29adf4-f0d2-46a7-90fd-911205a0b2f0
892,18196,Mammals,17.7525005,-64.6200027,10/15/1972,TTU,,,,COTTON VALLY ESTATE,male,Odocoileus virginianus,1972,mm,ear length,127.0,7c724e93-29d0-4bf0-b3a9-49118e66ce06
893,18213,Mammals,17.760559100000002,-64.7741699,6/14/1972,TTU,,,,WINDSOR ESTATE,male,Odocoileus virginianus,1972,mm,ear length,102.0,e9392fde-baaa-44c3-aff7-55f8f0fec23c
894,61039,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,116.0,1d1229aa-d598-4a1b-b270-ad7c6766efb9
895,62049,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,121.0,d03db56b-1670-4621-82a5-ca4d3114fdf1
896,61111,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,,d4ad3c56-f28d-4d3b-b5ee-22cc36d8224e
897,61089,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,mm,ear length,110.0,851fbb4a-1fcb-4c9b-8ac0-de5ba1bac48f
898,18210,Mammals,17.753889100000002,-64.605278,10/4/1972,TTU,,,,TEAGUE ESTATE,male,Odocoileus virginianus,1972,mm,ear length,140.0,f4bcce44-59e4-4203-9cb4-41622d9674aa
899,65161,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,,,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,mm,ear length,127.0,1c5df350-d51f-4a30-ad22-20ac5a58a97d
900,62078,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,mm,ear length,128.0,3f7d3863-41e3-4b04-9605-067b38e7944f
901,62066,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,mm,ear length,127.0,24178e89-c3a7-4e1e-a773-d5ac4c602b66
902,60144,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,mm,ear length,,01d309fe-2f3b-4bcb-86d0-883b8d71a6bf
903,61044,Mammals,35.50028,-89.20833,10/26/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,mm,ear length,134.0,bae52025-64d2-4d26-bff2-f3e07a45778d
904,18214,Mammals,,,10/24/1972,TTU,,,,WOOD COTTAGE ESTATE,male,Odocoileus virginianus,1972,mm,ear length,102.0,e515713f-6cf7-472a-a8a4-840d0050732b
