,catalogNumber,individualID,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,diagnosticID
78,62242,MammalsOMNH62242,Mammals,35.50028,-89.20833,10/25/1986,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1986,g,body mass,22226.03,132eea39-b6a4-4df7-8bd1-8282533245cc
79,61049,MammalsOMNH61049,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,19958.07,34b4f156-6eff-42a0-976c-3cb3794afd6b
80,62215,MammalsOMNH62215,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1987,g,body mass,27215.54,3b3790d0-3da7-4e79-abf0-53a54cd1482f
81,61188,MammalsOMNH61188,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,22226.03,f0ba2369-9f35-4c88-886b-65136bfe276f
82,61032,MammalsOMNH61032,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,19050.88,9c25b478-0d4a-4121-81c8-47b667526160
83,63450,MammalsOMNH63450,Mammals,35.50028,-89.20833,10/25/1986,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1986,g,body mass,22226.03,aab95855-9021-42e1-9869-acc14c36a358
84,61172,MammalsOMNH61172,Mammals,35.50028,-89.20833,10/22/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,11339.81,c03343dd-a752-46fd-bcab-7dcdd17c108a
85,62075,MammalsOMNH62075,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,25401.17,53572aae-9a33-47b5-a4b0-37b0335aacce
86,60198,MammalsOMNH60198,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,g,body mass,26308.36,435896f2-6154-4ff1-9014-e2ddfafda714
87,62019,MammalsOMNH62019,Mammals,35.50028,-89.20833,10/27/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,20411.66,2a0cac0a-8665-422e-80d7-4bf858a39fc7
88,61031,MammalsOMNH61031,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,25854.77,11cb3005-b4c5-4081-aef0-83c2e37dcf61
89,63451,MammalsOMNH63451,Mammals,35.50028,-89.20833,10/25/1986,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1986,g,body mass,26761.95,8466d547-8260-4ad2-a557-891809fa2e09
90,60196,MammalsOMNH60196,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,22679.62,6a7362ae-6181-4365-8956-10727d862618
91,61186,MammalsOMNH61186,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,24040.4,eba775e6-7829-4aa4-96cd-e246b23456e4
92,62056,MammalsOMNH62056,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,23586.8,925a1b32-5fbe-41a3-936f-522f6a91a0a0
93,60150,MammalsOMNH60150,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,24493.99,c991d35e-26da-4f9f-b728-8cc38a08b96e
94,60153,MammalsOMNH60153,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,g,body mass,18143.7,71b24c35-9ff0-4e64-ab58-4a87b9fa609a
95,62244,MammalsOMNH62244,Mammals,35.50028,-89.20833,10/18/1986,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1986,g,body mass,26308.36,589c6c06-ce2d-4a5d-9965-bc298d032bbe
96,61161,MammalsOMNH61161,Mammals,35.50028,-89.20833,10/15/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,g,body mass,23586.8,e90d1773-645a-4216-98f2-a0ace5c9aeee
97,61115,MammalsOMNH61115,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,g,body mass,18143.7,c4684653-caea-4cf0-bd0b-5a25cf75fcff
98,61130,MammalsOMNH61130,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,g,body mass,18143.7,529ac280-07d3-4bf4-99b4-6233eef7a14c
99,60134,MammalsOMNH60134,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,g,body mass,21772.44,022e283b-5ead-495c-a5e4-054063931de0
100,60147,MammalsOMNH60147,Mammals,35.50028,-89.20833,10/21/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,g,body mass,22679.62,76f4957c-492b-45db-a7cf-0ae7a4579db1
101,62253,MammalsOMNH62253,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1987,g,body mass,24040.4,2fe434de-9405-4d6b-992b-80b3b7e43b46
102,62248,MammalsOMNH62248,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,g,body mass,21772.44,febbc3df-615e-4583-bd40-b693b4c9f1ef
103,61004,MammalsOMNH61004,Mammals,35.50028,-89.20833,10/19/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,g,body mass,26308.36,51b8be8b-0782-479c-92e0-d22e2a123ee1
