,institutionCode,collectionCode,catalogNumber,measurementSide,measurementType,scientificName,decimalLatitude,decimalLongitude,locality,verbatimLocality,basisOfRecord,measurementValue,measurementUnit,lithostratigraphicTerms,formation,member,references,materialSampleID,diagnosticID
695,KU,,53793,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,28.32,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,e5471f16-0e72-45d4-97f3-b05cc43ff006
696,KU,,53793,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.59,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,e6f5fa86-239c-4238-9849-09dced132cc1
697,KU,,45557,average left and right,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.04,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b6cd126b-ae38-422b-b41e-f9b970b1bb5f
698,KU,,45557,average left and right,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.23,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,d835f0d1-d2f0-4a22-a3b8-8bf540baa9aa
699,KU,,53793,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.88,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b472583b-a06c-4d86-bc0f-931207fe88e7
700,KU,,53793,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.90,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,20189e02-6b55-4eb3-8317-5f6f1368f7f8
701,KU,,32986,left,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.09,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,93b01720-ed4e-468c-80f8-be3632559c2f
702,KU,,32986,left,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,27.26,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,a202ad0f-5c56-428b-9fb4-c88ac2651fd4
703,KU,,44390,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.12,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,33bf3c85-5160-4087-a931-ce02ea3713d9
704,KU,,44390,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.71,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,abe249d9-4dee-4f40-acee-b49b30cb934b
