institutionCode	collectionCode	specimenID	specimenType	side	aggregated data	scientificName	decimalLatitude	decimalLongitude	precision	sitename	verbatimLocality	collectionDate (verbatimEventDate)	basisOfRecord	sex	measurementType	measurementValue	measurementUnit	measurementMethod	minimumChronometricAge	minimumChronometricAgeReferenceSystem	maximumChronometricAge	maximumChronometricAgeReferenceSystem	chronometricAgeProtocol	chronometricAgeUncertaintyMethod	chronometricAgeUncertaintyInYears	lithostratigraphicTerms	group	formation	member	bed	ContextName	CulturalStratigraphy: cultural region	CulturalStratigraphy: culture	CulturalStratigraphy: occupation period (aka chronology)	CulturalStratigraphy: local chronology			collection event = locality & collection date	way to separate paleo from modern?	references
KU		45751	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.78	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		46778	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.56	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		46778	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.01	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		39232	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.83	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		39232	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.99	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36548	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.11	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36548	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.40	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		42970	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.37	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		42970	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.48	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41178	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.61	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41178	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.64	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32316	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.08	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32316	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.04	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32785	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.27	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32785	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.51	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		34020	P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	22.60	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		34020	P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.64	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		35769	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	21.56	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		35769	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.29	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		46645	P3 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.69	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		46645	P3 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.28	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41524	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.37	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41524	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.33	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32789	P3/P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	23.36	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32789	P3/P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.80	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36687	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.75	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36687	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.74	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		43306	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.65	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		43306	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.90	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36456	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	27.09	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		36456	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	27.15	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38844	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.11	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38844	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.58	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38519	P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	23.80	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38519	P4 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.97	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38193	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.80	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		38193	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.53	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		53793	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	28.32	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		53793	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	26.59	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		45557	P4 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.04	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		45557	P4 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.23	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		53793	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.88	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		53793	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.90	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32986	P4 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.09	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		32986	P4 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	27.26	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44390	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.12	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44390	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.71	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44079	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.75	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44079	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	23.56	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		27214	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.80	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		27214	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.37	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		43665	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.68	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		43665	P3 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.60	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44132	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	24.52	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		44132	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	24.85	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		39493	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	26.53	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		39493	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.47	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41960	P3/P4 	left						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	27.43	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41960	P3/P4 	left						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	25.92	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41984	P4 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	26.52	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		41984	P4 	average left and right						Natural Trap Cave	"Wyoming, USA"		fossil		transverse width	28.52	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
KU		39722	P3 	right						Natural Trap Cave	"Wyoming, USA"		fossil		anteroposterior length	25.53	millimeters	Mitutoyo digital caliper 								Late Pleistocene														"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045."
