"materialSampleID","sitename","verbatimEventDate","sex","measurementSide","verbatimLocality","scientificName","measurementValue","minimumChronometricAge","maximumChronometricAge","measurementType","individualID","measurementUnit","observationID"
"DDnonumb1","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","DDnonumb1","mm","c58d8b12-aa35-4027-91ed-bfc5e1795482"
"DDnonumb2","","","unknown","norecord","new","Hippotherium primigeneium",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","DDnonumb2","mm","2da09483-25a1-46b8-b39c-75463cf1ca64"
"PIUW1344/1","","","unknown","left","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/1","mm","ffcb8cc0-1afc-4928-b824-83fd95634aaf"
"PIUW1344/10","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/10","mm","6576dbaa-62a1-47ef-8bd5-991f82810129"
"PIUW1344/11","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/11","mm","e6f1f6f1-67e0-417b-b017-a58b76d18ae1"
"PIUW1344/12","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/12","mm","5eaf86eb-77b5-4ca5-8b21-e146251ea086"
"PIUW1344/13","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/13","mm","7db372bb-11c4-4602-a4eb-7f87260a7f30"
"PIUW1344/14","","","unknown","right","new","Hippotherium  brachypus",250.4,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/14","mm","a2014b4c-6ea9-4d51-a835-9c5a4c4af2d5"
"PIUW1344/15","","","unknown","left","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/15","mm","26c342f3-5a59-42f4-a43b-535c1685dd35"
"PIUW1344/16","","","unknown","left","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/16","mm","79d330d6-970f-4e1a-8690-d56dd47ff6aa"
